"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"factor(entity_year)Angola__2015",-0.161530610747123,2.42969084039008,-0.066481960610754,0.947028450345367,-4.93857680941182,4.61551558791757,"M4_country_year_pair_FE"
"factor(entity_year)Angola__2016",1.07906698633305,2.42969084039008,0.444116991509838,0.657206230927676,-3.69797921233165,5.85611318499775,"M4_country_year_pair_FE"
"factor(entity_year)Angola__2017",-1.43418176605818,2.42969084039007,-0.590273355859516,0.555351907391139,-6.21122796472285,3.3428644326065,"M4_country_year_pair_FE"
"factor(entity_year)Angola__2018",-1.10515556322664,2.42969084039008,-0.454854397462852,0.64946903722991,-5.88220176189134,3.67189063543806,"M4_country_year_pair_FE"
"factor(entity_year)Angola__2020",-5.03897691033046,2.42969084039008,-2.07391690603792,0.0387478598292803,-9.81602310899514,-0.261930711665769,"M4_country_year_pair_FE"
"factor(entity_year)Antigua and Barbuda__2013",-4.2221352481763,2.42969084039008,-1.73772530150316,0.0830547124681543,-8.999181446841,0.554910950488386,"M4_country_year_pair_FE"
"factor(entity_year)Antigua and Barbuda__2018",-4.20076639978167,2.42969084039008,-1.72893041779227,0.0846190476331233,-8.97781259844636,0.576279798883026,"M4_country_year_pair_FE"
"factor(entity_year)Argentina__2016",-1.89779666353771,2.42969084039009,-0.781085655833072,0.435229654722406,-6.67484286220243,2.87924953512702,"M4_country_year_pair_FE"
"factor(entity_year)Argentina__2018",-2.93305809057798,2.42969084039007,-1.20717337441462,0.228102687495858,-7.71010428924265,1.8439881080867,"M4_country_year_pair_FE"
"factor(entity_year)Argentina__2020",-4.60146669826948,2.42969084039008,-1.89384864188348,0.0589906129755455,-9.37851289693417,0.175579500395202,"M4_country_year_pair_FE"
"factor(entity_year)Argentina__2021",-4.4270185077241,2.42969084039008,-1.82205012840785,0.0692190614721164,-9.20406470638879,0.350027690940582,"M4_country_year_pair_FE"
"factor(entity_year)Azerbaijan__2021",-4.15084896487729,2.42969084039008,-1.70838564967833,0.0883666503700528,-8.927895163542,0.62619723378741,"M4_country_year_pair_FE"
"factor(entity_year)Bangladesh__2013",-1.9524211321238,2.42969084039008,-0.803567721319783,0.422139951775913,-6.72946733078849,2.82462506654088,"M4_country_year_pair_FE"
"factor(entity_year)Bangladesh__2015",-3.31852966533867,2.42969084039009,-1.36582383658568,0.172787488086852,-8.09557586400338,1.45851653332605,"M4_country_year_pair_FE"
"factor(entity_year)Bangladesh__2016",-0.506133394498867,2.42969084039009,-0.208311850250712,0.83509506751216,-5.28317959316359,4.27091280416585,"M4_country_year_pair_FE"
"factor(entity_year)Bangladesh__2019",-3.64136603017794,2.42969084039006,-1.49869521243013,0.134767960992064,-8.4184122288426,1.13568016848672,"M4_country_year_pair_FE"
"factor(entity_year)Bangladesh__2021",-1.49288837644697,2.42969084039009,-0.614435528845837,0.539288618143205,-6.26993457511168,3.28415782221774,"M4_country_year_pair_FE"
"factor(entity_year)Barbados__2016",-7.74608073821326,2.42969084039007,-3.18809315549367,0.00154863412420242,-12.5231269368779,-2.96903453954858,"M4_country_year_pair_FE"
"factor(entity_year)Belarus__2013",-2.44350459694814,2.42969084039006,-1.00568539681199,0.315195314101521,-7.2205507956128,2.33354160171653,"M4_country_year_pair_FE"
"factor(entity_year)Belarus__2015",-2.03174731630374,2.42969084039007,-0.836216395324415,0.403549188931877,-6.80879351496842,2.74529888236095,"M4_country_year_pair_FE"
"factor(entity_year)Belarus__2016",-1.32013704599451,2.42969084039008,-0.543335400557612,0.587211713120281,-6.0971832446592,3.45690915267019,"M4_country_year_pair_FE"
"factor(entity_year)Belarus__2017",-2.28195474446107,2.42969084039009,-0.939195516782169,0.348216176070117,-7.05900094312578,2.49509145420364,"M4_country_year_pair_FE"
"factor(entity_year)Belarus__2018",-1.12615407221683,2.42969084039008,-0.463496858734515,0.643268829136144,-5.90320027088152,3.65089212644786,"M4_country_year_pair_FE"
"factor(entity_year)Belarus__2021",-3.76860988724892,2.42969084039009,-1.55106560250434,0.121703327110734,-8.54565608591362,1.00843631141578,"M4_country_year_pair_FE"
"factor(entity_year)Benin__2013",-2.98172797947877,2.42969084039008,-1.22720468378605,0.220491672092667,-7.75877417814346,1.79531821918591,"M4_country_year_pair_FE"
"factor(entity_year)Benin__2014",-5.96925165882983,2.42969084039007,-2.45679473272883,0.0144564387607003,-10.7462978574945,-1.19220546016515,"M4_country_year_pair_FE"
"factor(entity_year)Benin__2016",-3.484368971664,2.42969084039006,-1.43407914856551,0.152357172381787,-8.26141517032865,1.29267722700065,"M4_country_year_pair_FE"
"factor(entity_year)Benin__2021",-3.50196870774527,2.42969084039008,-1.44132275988786,0.150302164637855,-8.27901490640996,1.27507749091942,"M4_country_year_pair_FE"
"factor(entity_year)Bolivia__2013",-5.04613257897663,2.42969084039009,-2.07686200033847,0.0384735655324493,-9.82317877764134,-0.269086380311914,"M4_country_year_pair_FE"
"factor(entity_year)Bolivia__2015",-2.86300399691073,2.42969084039006,-1.17834086103362,0.239384771477191,-7.64005019557539,1.91404220175393,"M4_country_year_pair_FE"
"factor(entity_year)Bolivia__2016",-1.81330069524123,2.42969084039008,-0.746309227946923,0.455933744941368,-6.59034689390591,2.96374550342346,"M4_country_year_pair_FE"
