"entity","year","strategic_present","social_present","strategic_aid_usd2021","social_aid_usd2021","coverage","strategic_share_of_two_family_aid","strategic_to_social_ratio","log_ratio_strategic_to_social"
"Rwanda",2020,TRUE,TRUE,242628792.257784,7137671.5865804,"Both families funded",0.971422618246187,33.9927088707685,3.52614605664215
"Samoa",2014,TRUE,TRUE,61179520.6622375,11580216.1205328,"Both families funded",0.84084307293323,5.2831069839673,1.66451436858613
"Samoa",2017,TRUE,TRUE,14753042.6310693,16665723.0869576,"Both families funded",0.469561495937587,0.885232675119558,-0.121904758789303
"Senegal",2013,TRUE,TRUE,175633655.507298,1643949.33189022,"Both families funded",0.990726694816407,106.836416488186,4.67129884675999
"Senegal",2016,TRUE,TRUE,83369914.7160425,43720739.947319,"Both families funded",0.655987766660525,1.9068733698583,0.645464921612417
"Senegal",2017,TRUE,TRUE,5471354.53278153,109414567.895237,"Both families funded",0.0476242381760008,0.0500057226202297,-2.99561782769857
"Senegal",2018,TRUE,TRUE,87152930.5761975,99611629.9675776,"Both families funded",0.466645975673581,0.874927261049385,-0.133614526309306
"Senegal",2019,TRUE,TRUE,112356461.226213,168628857.397297,"Both families funded",0.399865949497378,0.666294387333102,-0.40602368308247
"Senegal",2021,TRUE,TRUE,619961775.9,14400000,"Both families funded",0.97730001940995,43.0529011041667,3.76242961778244
"Serbia",2014,TRUE,TRUE,673401745.456527,232892.981260015,"Both families funded",0.999654274041192,2891.46431898994,7.9695183375567
"Serbia",2016,TRUE,TRUE,1044353811.95543,131835.642553714,"Both families funded",0.999873779364171,7921.63478499321,8.97735287575501
"Serbia",2017,TRUE,TRUE,342979807.601175,140381.291302766,"Both families funded",0.999590868459953,2443.20168605271,7.80106462456429
"Serbia",2018,TRUE,TRUE,236768285.031271,83641.3907807472,"Both families funded",0.999646862104758,2830.75499846627,7.94829873896713
"Serbia",2019,TRUE,TRUE,1610504594.2235,14764505.2734406,"Both families funded",0.990915654965685,109.07948247481,4.69207681351078
"Serbia",2021,TRUE,TRUE,284823529.411765,13776470.5882353,"Both families funded",0.953863125960364,20.6746370623399,3.02890768633439
